test_name,risc0_proving_time_s,risc0_proving_time_ms,risc0_proof_size_kb,risc0_proof_size_bytes,risc0_peak_memory_gb,risc0_peak_memory_bytes,sp1_proving_time_s,sp1_proving_time_ms,sp1_proof_size_kb,sp1_proof_size_bytes,sp1_peak_memory_gb,sp1_peak_memory_bytes,time_speedup,time_diff_s,proof_size_ratio,proof_size_diff_kb,memory_ratio,memory_diff_gb,time_winner,proof_size_winner,memory_winner
test_worst_compute.py::test_amortized_bn128_pairings[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test],230.352,230352.0,218.419921875,223662.0,448.3203125,481380270080.0,682.321,682321.0,1442.6357421875,1477259.0,448.5859375,481665482752.0,0.3376006307881481,-451.96900000000005,0.15140337611752577,-1224.2158203125,0.9994078615092565,-0.265625,RISC0,RISC0,RISC0
test_worst_compute.py::test_empty_block[fork_Prague-benchmark-gas-value_1M-blockchain_test],13.338,13338.0,218.419921875,223662.0,594.5703125,638415011840.0,51.914,51914.0,1442.6357421875,1477259.0,265.91015625,285518856192.0,0.25692491428131137,-38.576,0.15140337611752577,-1224.2158203125,2.2359819605423588,328.66015625,RISC0,RISC0,SP1
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_ADD-],38.332,38332.0,218.419921875,223662.0,613.3203125,658547671040.0,182.238,182238.0,1442.6357421875,1477259.0,213.41015625,229147410432.0,0.21034032419144197,-143.906,0.15140337611752577,-1224.2158203125,2.873904050665349,399.91015625,RISC0,RISC0,SP1
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_AND-],34.449,34449.0,218.419921875,223662.0,669.5703125,718945648640.0,168.246,168246.0,1442.6357421875,1477259.0,340.91015625,366049492992.0,0.20475375343247385,-133.79700000000003,0.15140337611752577,-1224.2158203125,1.9640667789579824,328.66015625,RISC0,RISC0,SP1
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_BYTE-],35.46,35460.0,218.419921875,223662.0,662.5390625,711395901440.0,176.69,176690.0,1442.6357421875,1477259.0,335.75390625,360513011712.0,0.20069047484294528,-141.23,0.15140337611752577,-1224.2158203125,1.9732877270136004,326.78515625,RISC0,RISC0,SP1
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_DIV-0],192.711,192711.0,218.419921875,223662.0,670.0390625,719448965120.0,954.882,954882.0,1442.6357421875,1477259.0,451.3984375,484685381632.0,0.2018165595330104,-762.1709999999999,0.15140337611752577,-1224.2158203125,1.4843628307862717,218.640625,RISC0,RISC0,SP1
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_DIV-1],178.527,178527.0,218.419921875,223662.0,713.1640625,765754081280.0,890.309,890309.0,1442.6357421875,1477259.0,449.0546875,482168799232.0,0.20052251521662703,-711.7819999999999,0.15140337611752577,-1224.2158203125,1.5881452356512813,264.109375,RISC0,RISC0,SP1
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_EQ-],71.711,71711.0,218.419921875,223662.0,201.7578125,216635801600.0,401.06,401060.0,1442.6357421875,1477259.0,449.0546875,482168799232.0,0.1788036702737745,-329.349,0.15140337611752577,-1224.2158203125,0.4492945249569408,-247.296875,RISC0,RISC0,RISC0
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_EXP-],112.817,112817.0,218.419921875,223662.0,678.0078125,728005345280.0,557.809,557809.0,1442.6357421875,1477259.0,474.8359375,509851205632.0,0.20225023260650152,-444.99199999999996,0.15140337611752577,-1224.2158203125,1.4278780499843695,203.171875,RISC0,RISC0,SP1
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_GT-],36.065,36065.0,218.419921875,223662.0,223.3203125,239788359680.0,179.877,179877.0,1442.6357421875,1477259.0,450.9296875,484182065152.0,0.20049811815851942,-143.812,0.15140337611752577,-1224.2158203125,0.4952442003499714,-227.609375,RISC0,RISC0,RISC0
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_LT-],35.81,35810.0,218.419921875,223662.0,628.7890625,675157114880.0,182.447,182447.0,1442.6357421875,1477259.0,522.6484375,561189486592.0,0.19627617883549744,-146.637,0.15140337611752577,-1224.2158203125,1.203082258329721,106.140625,RISC0,RISC0,SP1
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_MOD-],57.429,57429.0,218.419921875,223662.0,713.1640625,765754081280.0,321.311,321311.0,1442.6357421875,1477259.0,437.3359375,469585887232.0,0.1787333766973431,-263.88199999999995,0.15140337611752577,-1224.2158203125,1.6307007985137283,275.828125,RISC0,RISC0,SP1
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_MUL-],58.752,58752.0,218.419921875,223662.0,700.0390625,751661219840.0,291.713,291713.0,1442.6357421875,1477259.0,477.6484375,512871104512.0,0.20140343419731035,-232.961,0.15140337611752577,-1224.2158203125,1.4655947921948347,222.390625,RISC0,RISC0,SP1
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_OR-],33.763,33763.0,218.419921875,223662.0,713.1640625,765754081280.0,171.486,171486.0,1442.6357421875,1477259.0,450.9296875,484182065152.0,0.196884876899572,-137.72299999999998,0.15140337611752577,-1224.2158203125,1.5815416067499437,262.234375,RISC0,RISC0,SP1
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_SAR-],67.294,67294.0,218.419921875,223662.0,643.3203125,690759925760.0,331.016,331016.0,1442.6357421875,1477259.0,522.1796875,560686170112.0,0.20329530898808515,-263.72200000000004,0.15140337611752577,-1224.2158203125,1.2319903050614163,121.140625,RISC0,RISC0,SP1
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_SDIV-0],214.648,214648.0,218.419921875,223662.0,613.3203125,658547671040.0,1059.506,1059506.0,1442.6357421875,1477259.0,449.9921875,483175432192.0,0.20259252897104876,-844.8580000000001,0.15140337611752577,-1224.2158203125,1.3629576902376777,163.328125,RISC0,RISC0,SP1
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_SDIV-1],222.005,222005.0,218.419921875,223662.0,645.6640625,693276508160.0,1056.23,1056230.0,1442.6357421875,1477259.0,449.0546875,482168799232.0,0.21018622837828882,-834.225,0.15140337611752577,-1224.2158203125,1.4378294681535866,196.609375,RISC0,RISC0,SP1
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_SGT-],73.387,73387.0,218.419921875,223662.0,668.6328125,717939015680.0,426.259,426259.0,1442.6357421875,1477259.0,450.9296875,484182065152.0,0.17216527979467883,-352.872,0.15140337611752577,-1224.2158203125,1.482787297077219,217.703125,RISC0,RISC0,SP1
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_SHL-],59.188,59188.0,218.419921875,223662.0,575.8203125,618282352640.0,295.963,295963.0,1442.6357421875,1477259.0,522.6484375,561189486592.0,0.19998445751664903,-236.77500000000003,0.15140337611752577,-1224.2158203125,1.1017354519499545,53.171875,RISC0,RISC0,SP1
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_SHR-],60.909,60909.0,218.419921875,223662.0,642.8515625,690256609280.0,288.116,288116.0,1442.6357421875,1477259.0,522.1796875,560686170112.0,0.21140443432506353,-227.207,0.15140337611752577,-1224.2158203125,1.2310926255629198,120.671875,RISC0,RISC0,SP1
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_SIGNEXTEND-],54.591,54591.0,218.419921875,223662.0,638.1640625,685223444480.0,272.728,272728.0,1442.6357421875,1477259.0,449.0546875,482168799232.0,0.20016646622275674,-218.137,0.15140337611752577,-1224.2158203125,1.4211277162093983,189.109375,RISC0,RISC0,SP1
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_SLT-],40.639,40639.0,218.419921875,223662.0,713.1640625,765754081280.0,201.383,201383.0,1442.6357421875,1477259.0,476.2421875,511361155072.0,0.20179955606977748,-160.744,0.15140337611752577,-1224.2158203125,1.4974819140733935,236.921875,RISC0,RISC0,SP1
test_worst_compute.py::test_worst_binop_simple[fork_Prague-benchmark-gas-value_1M-blockchain_test_from_state_test-opcode_SMOD-],67.336,67336.0,218.419921875,223662.0,646.1328125,693779824640.0,350.329,350329.0,1442.6357421875,1477259.0,376.06640625,403798228992.0,0.19220789600632548,-282.993,0.15140337611752577,-1224.2158203125,1.7181348872477227,270.06640625,RISC0,RISC0,SP1
